precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 2.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en san joaquin, medellín"
$ 2.350.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,45 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 10.000.000,"Casa en Medellín, Antioquia",4 Habs. ,3 Baños,528 m²,"Casa en arriendo en los colores, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en belén rincón, medellín"
$ 4.500.000,"Casa en Medellín, Antioquia",3 Habs. ,3 Baños,200 m²,"Casa en arriendo en laureles, medellín"
$ 1.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,42 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 1.650.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en centro, medellín"
$ 1.550.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en robledo, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en la floresta, medellín"
$ 8.500.000,"Casa en Medellín, Antioquia",4 Habs. ,2 Baños,200 m²,"Casa en arriendo en laureles, medellín"
$ 3.980.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,180 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.000.000,"Casa en Medellín, Antioquia",4 Habs. ,2 Baños,140 m²,"Casa en arriendo en campo valdes no.1, medellín"
$ 4.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,55 m²,"Apartamento en arriendo en calasanz, medellín"
$ 2.150.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,99 m²,"Apartamento en arriendo en belén altavista, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en las lomitas, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en guayabal, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en belén, medellín"
$ 3.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en guayabal, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",1 Hab ,1 Baño,45 m²,"Apartamento en arriendo en robledo, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,87 m²,"Apartamento en arriendo en calasanz, medellín"
$ 4.800.000,"Casa en Medellín, Antioquia",4 Habs. ,2 Baños,250 m²,"Casa en arriendo en laureles, medellín"
$ 5.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,87 m²,"Apartamento en arriendo en la pilarica, medellín"
$ 8.000.000,"Casa en Medellín, Antioquia",4 Habs. ,3 Baños,300 m²,"Casa en arriendo en laureles, medellín"
$ 950.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,Apartamento en arriendo en medellín
$ 1.050.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,35 m²,"Apartamento en arriendo en la milagrosa, medellín"
$ 1.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,47 m²,"Apartamento en arriendo en robledo, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,110 m²,Apartamento en arriendo en la estrella
$ 3.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en san german, medellín"
$ 3.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en laureles, medellín"
$ 5.500.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,75 m²,"Casa en arriendo en manila, medellín"
$ 1.650.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en boston, medellín"
$ 1.700.000,"Casa en Medellín, Antioquia",4 Habs. ,1 Baño,100 m²,"Casa en arriendo en lopez de mesa, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,60 m²,Apartamento en arriendo en medellín
