precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 4.200.000,"Casa en Medellín, Antioquia",5 Habs. ,2 Baños,187 m²,"Casa en arriendo en belén, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en belén los alpes, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,110 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,85 m²,"Apartamento en arriendo en loma de san julian, medellín"
$ 3.700.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,110 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en laureles, medellín"
$ 3.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,98 m²,"Apartamento en arriendo en guayabal, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,108 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,81 m²,"Apartamento en arriendo en san joaquin, medellín"
$ 1.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en castilla, medellín"
$ 3.000.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en laureles, medellín"
$ 4.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,106 m²,Apartamento en arriendo en medellín
$ 5.200.000,"Casa en Medellín, Antioquia",5 Habs. ,2 Baños,220 m²,"Casa en arriendo en la america, medellín"
$ 6.800.000,"Casa en Medellín, Antioquia",4 Habs. ,4 Baños,300 m²,"Casa en arriendo en los colores, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,84 m²,"Apartamento en arriendo en loma de los gonzalez, medellín"
$ 2.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en la mota, medellín"
$ 2.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 5.150.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,94 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,103 m²,"Apartamento en arriendo en la castellana, medellín"
$ 1.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en campo valdes no.1, medellín"
$ 2.080.000,"Casa en Medellín, Antioquia",4 Habs. ,2 Baños,150 m²,"Casa en arriendo en laureles, medellín"
$ 8.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,200 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,70 m²,"Apartamento en arriendo en boston, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,130 m²,Apartamento en arriendo en envigado
$ 4.100.000,"Apartamento en Medellín, Antioquia",4 Habs. ,3 Baños,156 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,68 m²,"Apartamento en arriendo en belén las violetas, medellín"
$ 2.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,100 m²,"Apartamento en arriendo en belén, medellín"
$ 800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,47 m²,"Apartamento en arriendo en robledo, medellín"
$ 1.600.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Casa en arriendo en san antonio de prado, medellín"
$ 2.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,73 m²,Apartamento en arriendo en medellín
$ 2.550.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,110 m²,"Apartamento en arriendo en belén, medellín"
$ 4.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,95 m²,"Apartamento en arriendo en el poblado, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,135 m²,"Apartamento en arriendo en villa carlota, medellín"
$ 5.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,98 m²,"Apartamento en arriendo en castropol, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,98 m²,"Apartamento en arriendo en castropol, medellín"
$ 2.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en belén aliadas, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en san diego, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en san joaquin, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,73 m²,"Apartamento en arriendo en la castellana, medellín"
$ 3.400.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,80 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,62 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,60 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,90 m²,"Apartamento en arriendo en belén san bernardo, medellín"
$ 2.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 1.250.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en san antonio de prado, medellín"
$ 1.550.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,70 m²,"Apartamento en arriendo en campo valdes no.1, medellín"
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 1.800.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,60 m²,"Apartamento en arriendo en calasanz, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,45 m²,"Apartamento en arriendo en el velodromo, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en laureles, medellín"
$ 14.850.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,220 m²,"Apartamento en arriendo en la calera, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,120 m²,"Apartamento en arriendo en belén san bernardo, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,74 m²,Apartamento en arriendo en medellín
$ 5.250.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,92 m²,"Apartamento en arriendo en el poblado, suroriente, medellín"
$ 3.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,98 m²,"Apartamento en arriendo en guayabal, medellín"
